"Auto_Italienische_Reise.11f7b.0" "Drama_Die_Mitschuldigen.11hb1.0" "Drama_Egmont.11g9w.0" "Drama_Faust_Der_Trag_die_zweiter_Teil.11d11.0" "Drama_Faust_in_urspr_nglicher_Gestalt_.11f7n.0" "Drama_G_tter_Helden_und_Wieland.11h60.0" "Drama_G_tz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0" "Drama_Iphigenie_auf_Tauris.11f78.0" "Drama_Prometheus.11gx9.0" "Drama_Satyros_oder_der_verg_tterte_Waldteufel.11gn9.0" "Lyrik_Elegien_1.11df4.0" "Lyrik_Elegien_2_Alexis_und_Dora.11g90.0" "Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenm_dchen.11g73.0" "Lyrik_Elegien_2_Euphrosyne.11ft0.0" "Lyrik_Gott_Gem_t_und_Welt.11hks.0" "Lyrik_Zahme_Xenien_4.11d4r.0" "Roman_Die_Leiden_des_jungen_Werther.11cvr.0" "Roman_Die_Wahlverwandtschaften.11hnp.0" "Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0"
"nicht" 0.763151357058568 1.66289743248636 1.62164254199241 1.11563773111877 1.37052176003847 1.19565217391304 1.34431306306306 1.32568262762169 1.0492700729927 0.992953235105701 0.988319856244385 0.880758807588076 0.508720930232558 1.1119347664937 0.740740740740741 2.07645115620576 1.1662103234966 1.22280551208924 1.11353307697053
"den" 1.28019998757841 0.771584408673673 0.878550971437418 0.831505275253317 0.769415724933878 0.951086956521739 0.830518018018018 1.33887349953832 0.821167883211679 0.736707238949391 1.5947888589398 1.21951219512195 2.03488372093023 1.63083765752409 0.592592592592593 0.519112789051439 0.973532096136295 0.894704961889859 0.951078574513151
"es" 0.8485497795168 1.30371158706931 1.04497252109296 0.938054946202862 0.697283000721327 0.407608695652174 0.689752252252252 0.798047750956338 0.364963503649635 0.448430493273543 0.898472596585804 1.01626016260163 0.436046511627907 0.815418828762046 1.18518518518519 0.943841434638981 0.856911063786634 1.04108828428651 0.811244319233379
"mit" 0.860971368237998 0.731674870294 0.750832107748278 0.656011699571712 0.64919451791296 0.951086956521739 0.689752252252252 0.962933649914259 0.638686131386861 0.704676489429853 0.718778077268643 0.609756097560976 0.726744186046512 0.22238695329874 0.592592592592593 0.566304860783388 0.938038738464659 0.874514158800666 0.964445084209011
"so" 0.827588348549779 1.01104163895171 0.808886136697887 0.779275044395696 0.961769656167348 1.03260869565217 0.834037162162162 0.738688827331487 0.775547445255474 0.928891736066624 0.786163522012579 0.948509485094851 0.726744186046512 0.889547813194959 1.48148148148148 1.41576215195847 0.917756819795153 0.935086568068245 0.838491435151864
"ein" 0.879603751319794 1.07755753625116 0.905642851613902 0.996552804763397 1.40258074857738 1.22282608695652 0.893862612612613 1.01569713758079 0.456204379562044 1.05701473414478 0.808625336927224 0.948509485094851 0.872093023255814 0.815418828762046 0.740740740740741 0.99103350637093 0.755501470439104 0.666296501943365 0.743897674227313
"von" 1.01158313148252 0.465611281096182 0.692778078798669 0.593335422542568 0.488899575218402 0.543478260869565 0.826998873873874 0.738688827331487 0.547445255474453 0.608584240871236 0.449236298292902 0.2710027100271 0.436046511627907 0.518902891030393 0.148148148148148 0.424728645587541 0.689585234763209 0.721821210438645 0.688889345863579
"auf" 0.818272157008881 0.452308101636291 0.615372706865857 0.589157004073958 0.777430472068606 0.489130434782609 0.756615990990991 0.573802928373566 0.775547445255474 0.640614990390775 0.426774483378257 0.609756097560976 0.581395348837209 0.593031875463306 0.296296296296296 0.235960358659745 0.725078592434844 0.771036292968553 0.790166361636061
"ist" 0.767809452829017 1.59638153518691 1.24622648811828 0.984017549357568 1.25030055301755 1.4945652173913 1.20706644144144 0.738688827331487 0.866788321167883 1.21716848174247 0.404312668463612 0.40650406504065 0.218023255813953 0.22238695329874 1.77777777777778 1.03822557810288 0.973532096136295 0.507293927615971 0.503300499701824
"dem" 0.732873734550649 0.532127178395637 0.615372706865857 0.639298025697274 0.504929069487858 0.570652173913043 0.475084459459459 0.923361034164358 0.638686131386861 0.544522741832159 0.651392632524708 0.745257452574526 1.16279069767442 2.2238695329874 0.740740740740741 0.377536573855592 0.83409390528344 0.707940033314825 0.727960681897633
