"Auto_Italienische_Reise.11f7b.0" "Drama_Die_Mitschuldigen.11hb1.0" "Drama_Egmont.11g9w.0" "Drama_Faust__in_urspruenglicher_Gestalt_.11f7n.0" "Drama_Faust._Der_Tragoedie_zweiter_Teil.11d11.0" "Drama_Goetter,_Helden_und_Wieland.11h60.0" "Drama_Goetz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0" "Drama_Iphigenie_auf_Tauris.11f78.0" "Drama_Prometheus.11gx9.0" "Drama_Satyros_oder_der_vergoetterte_Waldteufel.11gn9.0" "Lyrik_Elegien_1.11df4.0" "Lyrik_Elegien_2_Alexis_und_Dora.11g90.0" "Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenmaedchen.11g73.0" "Lyrik_Elegien_2_Euphrosyne.11ft0.0" "Lyrik_Gott,_Gemuet_und_Welt.11hks.0" "Lyrik_Zahme_Xenien_4.11d4r.0" "Roman_Die_Leiden_des_jungen_Werther.11cvr.0" "Roman_Die_Wahlverwandtschaften.11hnp.0" "Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0"
"nicht" 0.763151357058568 1.78852482472457 1.67532986805278 1.42654542420956 1.14567689337052 1.24364047484454 1.41923019765195 1.35344421251094 1.09315589353612 1.06200753682768 0.988319856244385 0.880758807588076 0.53475935828877 1.1119347664937 0.740740740740741 2.07645115620576 1.16422961335455 1.22280551208924 1.11353307697053
"den" 1.28019998757841 0.829875518672199 0.907636945221911 0.800867606573788 0.853894014160052 0.989259468626343 0.876801902214296 1.36691131910309 0.855513307984791 0.78794107571086 1.5947888589398 1.21951219512195 2.13903743315508 1.63083765752409 0.592592592592593 0.519112789051439 0.972295881001086 0.894704961889859 0.951078574513151
"es" 0.8485497795168 1.40220346258406 1.07956817273091 0.725786268457496 0.963312593863978 0.423968343697004 0.728191410313568 0.814759948824995 0.380228136882129 0.479616306954436 0.898472596585804 1.01626016260163 0.458365164247517 0.815418828762046 1.18518518518519 0.943841434638981 0.858650907897063 1.04108828428651 0.811244319233379
"mit" 0.860971368237998 0.78695092287881 0.775689724110356 0.675732043046634 0.671529714653508 0.989259468626343 0.728191410313568 0.983098781226853 0.665399239543726 0.753682768071257 0.718778077268643 0.609756097560976 0.763941940412529 0.22238695329874 0.592592592592593 0.566304860783388 0.934414223299745 0.874514158800666 0.964445084209011
"so" 0.827588348549779 1.08742309343254 0.835665733706517 1.00108450821724 0.800257455481656 1.07405313736574 0.880517164511814 0.754157969160326 0.807984790874525 0.993490921548476 0.786163522012579 0.948509485094851 0.763941940412529 0.889547813194959 1.48148148148148 1.41576215195847 0.914210672525696 0.935086568068245 0.838491435151864
"ein" 0.879603751319794 1.15896408642152 0.903638544582167 1.4599149078168 1.00836730315383 1.27190503109101 0.939961361272106 1.03696720759545 0.475285171102662 0.993490921548476 0.808625336927224 0.948509485094851 0.916730328495034 0.815418828762046 0.740740740740741 0.99103350637093 0.752582266333308 0.666296501943365 0.743897674227313
"von" 1.01158313148252 0.500786950922879 0.715713714514194 0.508884625010428 0.609311306586569 0.565291124929339 0.873086639916778 0.754157969160326 0.570342205323194 0.650907845152449 0.449236298292902 0.2710027100271 0.458365164247517 0.518902891030393 0.148148148148148 0.424728645587541 0.689446170164406 0.721821210438645 0.688889345863579
"auf" 0.818272157008881 0.486478752325082 0.635745701719312 0.809209977475599 0.605020381892298 0.508762012436405 0.798781393966414 0.585819136758467 0.807984790874525 0.685166152792052 0.426774483378257 0.609756097560976 0.611153552330023 0.593031875463306 0.296296296296296 0.235960358659745 0.722276940172235 0.771036292968553 0.790166361636061
"ist" 0.767809452829017 1.71698383173558 1.2874850059976 1.30140986068241 1.01051276550097 1.55455059355568 1.27433496804874 0.754157969160326 0.903041825095057 1.3018156903049 0.404312668463612 0.40650406504065 0.229182582123759 0.22238695329874 1.77777777777778 1.03822557810288 0.96977043715433 0.507293927615971 0.503300499701824
"dem" 0.732873734550649 0.572327943911861 0.635745701719312 0.525569366814049 0.656511478223557 0.593555681175806 0.501560410164958 0.942697461450407 0.665399239543726 0.548132922233642 0.651392632524708 0.745257452574526 1.22230710466005 2.2238695329874 0.740740740740741 0.377536573855592 0.833396469429502 0.707940033314825 0.727960681897633
"daß" 0.63039562760077 0.400629560738303 0.679728108756497 0.517226995912238 0.216691697060717 0.791407574901074 0.512706197057512 0.417480304356609 0.332699619771863 0.205549845837616 0.179694519317161 0.0677506775067751 0.229182582123759 0.148257968865827 0.592592592592593 0.424728645587541 0.67429350708387 0.729392761597093 0.783997203314894
"wie" 0.475125768585802 1.20188868221491 0.819672131147541 0.767498122966547 0.84960308946578 0.791407574901074 0.876801902214296 0.686822436199582 0.570342205323194 0.78794107571086 0.516621743036837 0.880758807588076 0.763941940412529 0.593031875463306 0.592592592592593 0.707881075979235 0.818243806348966 0.553985159759729 0.521807974665323
"mir" 0.512390534749394 0.844183717269996 0.707716913234706 0.909318428297322 0.540656511478224 0.480497456189938 0.873086639916778 0.855161268601441 0.807984790874525 1.06200753682768 1.28032345013477 1.69376693766938 1.2987012987013 1.63083765752409 0.148148148148148 0.755073147711185 0.95714321792055 0.297814345565595 0.506899175389171
"als" 0.53568101360164 0.300472170553727 0.411835265893643 0.458830399599566 0.33254666380605 0.650084793668739 0.460692524892257 0.276075685139048 0.380228136882129 0.274066461116821 0.292003593890386 0.2710027100271 0.305576776165011 0.22238695329874 0.148148148148148 0.519112789051439 0.489936106270677 0.677653828681036 0.654958975097164
"an" 0.581485622011055 0.4149377593361 0.447820871651339 0.650704930341203 0.536365586783952 0.423968343697004 0.471838311784812 0.565618476870244 0.380228136882129 0.616649537512847 0.359389038634322 0.5420054200542 0.229182582123759 0.741289844329133 0.296296296296296 0.188768286927796 0.588428416294164 0.507293927615971 0.561907503752905
"mich" 0.451058940438482 0.901416511661182 0.703718512594962 0.834237090181029 0.579274833726668 0.480497456189938 0.72447614801605 0.922496801562184 0.712927756653992 0.650907845152449 0.763701707097934 0.677506775067751 0.763941940412529 2.07561156412157 0 0.707881075979235 0.926837891759477 0.256170814194135 0.452404943552201
"war" 0.361778771504875 0.486478752325082 0.215913634546182 0.300325352465171 0.180218837159408 0.282645562464669 0.323227819884084 0.168338832401858 0.190114068441065 0.13703323055841 0.314465408805031 0.203252032520325 0.152788388082506 0 0.296296296296296 0.330344502123643 0.530343207818774 0.700368482156378 0.762919245717576
"man" 0.741413576796472 0.386321362140506 0.347860855657737 0.250271127054309 0.315382965028964 0.282645562464669 0.174617327983356 0.114470406033264 0.0475285171102662 0.13703323055841 0 0.13550135501355 0 0 0 0.943841434638981 0.244968053135339 0.715511584473272 0.525920746879434
"ihr" 0.146730016769145 0.643868936900844 0.739704118352659 1.07616584633353 0.566402059643853 1.69587337478802 1.33006390251152 0.478082284021278 0.950570342205323 0.856457690990065 0.853548966756514 0.5420054200542 0.152788388082506 0 0.444444444444444 0.283152430391694 0.606106523221456 0.497198526071374 0.395854325608176
"eine" 0.601670703683001 0.0715409929889827 0.299880047980808 0.27529823975974 0.0986912679682472 0.452232899943471 0.297220983801456 0.208740152178304 0.380228136882129 0.274066461116821 0.157232704402516 0.0677506775067751 0.0763941940412529 0.0741289844329133 0.296296296296296 0.188768286927796 0.4369017854888 0.583009439200444 0.533632194780892
"was" 0.256195267374697 0.944341107454571 0.715713714514194 0.750813381162927 0.607165844239434 0.932730356133409 0.672462475850795 0.451148070836981 1.28326996197719 0.548132922233642 0.157232704402516 0.0677506775067751 0.229182582123759 0.148257968865827 0.888888888888889 1.32137800849457 0.399020127787459 0.492150825299076 0.379403236751732
"wir" 0.493758151667598 0.100157390184576 0.571771291483407 0.27529823975974 0.615747693627977 0.339174674957603 0.754198246396196 0.255875025250825 0.332699619771863 0.205549845837616 0.359389038634322 0.0677506775067751 0.229182582123759 0 0.148148148148148 0.330344502123643 0.343460363158825 0.412649538135379 0.35781118262765
"des" 0.531799267126265 0.157390184575762 0.439824070371851 0.191874530741637 0.418365157691483 0.282645562464669 0.33065834447912 0.767625075752475 0.427756653992395 0.582391229873244 0.516621743036837 0.338753387533875 0.916730328495034 0.593031875463306 0 0.141576215195847 0.439427229335556 0.373529857150068 0.393283842974357
"wenn" 0.292683684243215 0.443554156531693 0.663734506197521 0.375406690581463 0.26603733104484 0.423968343697004 0.594441967602913 0.30974345161942 0.380228136882129 0.13703323055841 0.202156334231806 0.0677506775067751 0 0.44477390659748 0.148148148148148 0.943841434638981 0.583377528600652 0.43788804199687 0.423101441526661
"auch" 0.494534500962673 0.32908856774932 0.37984806077569 0.266955868857929 0.403346921261532 0.339174674957603 0.204339426363501 0.316477004915494 0.332699619771863 0.308324768756423 0.471698113207547 0.880758807588076 0.53475935828877 0.44477390659748 0.592592592592593 0.896649362907032 0.29547693007046 0.453031144313765 0.377346850644677
"nur" 0.313645115210235 0.615252539705251 0.363854458216713 0.483857512304997 0.366874061360223 0.169587337478802 0.282359934611384 0.262608578546899 0 0.376841384035629 0.449236298292902 0.474254742547426 1.2987012987013 0.296515937731653 0.592592592592593 0.660689004247286 0.234866277748314 0.445459593155318 0.441094819963396
"du" 0.0139742873113471 0.815567320074403 0.95561775289884 0.892633686493702 0.836730315382965 0.847936687394008 0.962252935057215 1.33324355262272 1.66349809885932 0.513874614594039 0.808625336927224 1.42276422764228 1.98624904507257 1.92735359525575 1.18518518518519 1.22699386503067 0.575801197060383 0.214527282822674 0.16759546772502
"nach" 0.41068877709459 0.0572327943911861 0.323870451819272 0.258613497956119 0.25101909461489 0.141322781232335 0.278644672313865 0.269342131842974 0.190114068441065 0.102774922918808 0.471698113207547 0.40650406504065 0.381970970206264 0.22238695329874 0.296296296296296 0.235960358659745 0.343460363158825 0.367220231184695 0.377860947171441
"ihm" 0.148282715359294 0.37201316354271 0.407836865253898 0.208559272545257 0.208109847672173 0.0847936687394008 0.364095705156784 0.363611877988014 0.0950570342205323 0.13703323055841 0.247079964061096 0.13550135501355 0.229182582123759 0 0.444444444444444 0.188768286927796 0.330833143925045 0.391196809853112 0.499701824014477
